tract,cems_percentile,utems_percentile,mems_percentile,cancer_twe_percentile,chronic_twe_percentile,acute_twe_percentile
06013302011,31.7373461012,0,31.5321477428,80.3693570451,59.9179206566,32.6949384405
06013302012,25.3077975376,0,25.170998632,18.7414500684,24.9658002736,32.8317373461
06013302013,23.2558139535,99.2476060192,81.805745554,19.3570451436,23.4610123119,30.2325581395
06013302014,52.0519835841,0,51.7783857729,42.1340629275,57.8659370725,65.389876881
06013303104,20.5882352941,0,20.5882352941,11.2859097127,19.4938440492,26.4021887825
06013303105,75.3077975376,0,74.7606019152,0,32.2845417237,45.0068399453
06013303106,75.3761969904,0,74.829001368,77.5649794802,77.8385772914,77.0861833105
06013303107,92.8864569083,0,92.4760601915,82.9685362517,78.1805745554,76.8125854993
06013303202,45.8960328317,0,45.6908344733,70.2462380301,59.6443228454,56.634746922
06013303204,47.9480164159,0,47.6744186047,34.8153214774,52.5991792066,60.6703146375
06013303206,46.4432284542,0,46.2380300958,54.7195622435,54.5827633379,58.8919288646
06013303207,84.4733242134,0,84.0629274966,93.0916552668,84.8153214774,75.7181942544
06013303208,4.03556771546,0,4.03556771546,14.8426812585,6.97674418605,0
06013303209,64.9794801642,0,64.5690834473,52.5307797538,72.366621067,77.4281805746
06013303210,11.7647058824,0,11.7647058824,54.0355677155,18.7414500684,11.9699042408
06013303211,43.023255814,0,42.8180574555,26.3337893297,51.2311901505,50.2735978112
06013304001,50.9575923393,0,50.683994528,72.9138166895,62.243502052,58.3447332421
06013304002,83.5157318741,0,83.1053351573,82.9001367989,84.4049247606,86.2517099863
06013304003,23.1190150479,0,23.0506155951,69.1518467852,57.6607387141,45.6908344733
06013304004,18.878248974,0,18.878248974,9.84952120383,17.3734610123,24.2818057456
06013304006,23.8714090287,0,23.7346101231,83.1053351573,67.5102599179,32.0793433653
06013304007,63.7482900137,0,63.3378932969,74.4186046512,73.9398084815,75.6497948016
06013305000,98.4952120383,0,98.2900136799,94.5964432285,98.0848153215,98.0848153215
06013306002,96.9904240766,0,96.7168262654,89.6032831737,96.2380300958,96.5800273598
06013306004,96.3748290014,0,96.0328317373,59.097127223,93.5020519836,88.9876880985
06013307101,21.1354309166,0,21.1354309166,11.6963064295,20.2462380301,27.0861833105
06013307102,46.0328317373,0,45.8276333789,41.9972640219,51.8467852257,59.0287277702
06013307201,36.9357045144,0,36.7989056088,50.341997264,41.0396716826,44.8700410397
06013307202,95.6908344733,0,95.4172366621,87.0041039672,91.4500683995,93.7756497948
06013307204,5.54035567715,0,5.54035567715,28.1805745554,10.8071135431,0
06013307205,57.2503419973,0,56.9083447332,62.0383036936,61.8331053352,64.4322845417
06013308001,80.4377564979,0,79.8221614227,58.2763337893,77.9069767442,81.5321477428
06013308002,44.1176470588,0,43.9124487004,64.9110807114,54.5143638851,51.7099863201
06013309000,98.2216142271,0,97.9480164159,99.1108071135,99.658002736,99.5212038304
06013310000,79.2065663475,0,78.659370725,49.1108071135,47.2640218878,53.2831737346
06013311000,27.7701778386,0,27.633378933,60.2599179207,23.0506155951,0
